REG ID,ID,BDATE,DATA TYPE,BREED,gINB,gEFI,Test Type,CDCB,SIRE REG,SIRE NAAB,SIRE NAME,DAM REG,DAM ID,MGS REG,MGS NAAB,MGS Name,RPRO,Age In Months,LACT,DIM,AY BBR,BS BBR,GU BBR,HO BBR,JE BBR,Dead/Sold,NET MERIT,TPI,CHEESE MERIT,FLUID MERIT,GRAZING MERIT,MILK,JPI,FAT,PROTEIN,FAT PERCENT,PROTEIN PERCENT,PRODUCTIVE LIFE,EFH REL,EFC REL,FEED EFFICIENCY,RFI,DAUGHTER PREGNANCY RATE,HEIFER CONCEPTION RATE,COW CONCEPTION RATE,FERTILITY INDEX,DAUGHTER CALVING EASE,SIRE CALVING EASE,DAUGHTER STILLBIRTH,SIRE STILLBIRTH,HEALTH INDEX,HEIFER LIVABILITY,LIVABILITY,EARLY FIRST CALVING,SOMATIC CELL SCORE,MASTITITS,METRITIS,DISPLACED ABOMASUM,MILK FEVER,RETAINED PLACENTA,KETOSIS,BDE,DFM,FLS,FTA,FTP,FUA,PTAT,RLR,RLS,RPA,RTP,RUH,RUW,STA,STR,TLG,TRW,UCL,UDP,UDC,FLC,JUI,AH1_GV,AH2_GV,Arachnomelia BS_GV,Arachnomelia SM_GV,BCN AB_GV,BCN A2_GV,BH2_GV,BLAD_GV,BLG BetaLacto Globulin_GV,Brachyspina_GV,Citrullinemia_GV,CVM_GV,JH1_GV,DGAT_GV,Dominant Red_GV,DUMPS_GV,Factor XI_GV,FMO3_GV,HCD_GV,HH1_GV,HH3_GV,GART/HH4_GV,HH5 *_GV,SDE2/HH6_GV,KCN AB_GV,KCN AE_GV,KCN Haplotype_GV,MW_GV,Red Factor_GV,SDM_GV,Slick_GV,SMA_GV,Weaver_GV,AH1,AH2,AHC,BH1,BH2,BHD,BHM,BHP,BHW,HBR,HCD,HDR,HH0,HH1,HH2,HH3,HH4,HH5,HH6,HHB,HHC,HHD,HHM,HHP,HHR,HMW,HRR,JH1,JH1_PC,JH2,JH2_PC,JHP,JHP_PC,JNS,JNS_PC,ECOFEED LIFE,RCI,DOI,ECOFEED HEIFER,MILKING SPEED,OOC,ECOFEED COW,EMS,VEI,ECO2FEED,BT,VEA,Eco$
1329,1329,2024-01-26,Pedigree,HO,10.98,,CDCB,,HO840003205436134,001HO15405,Peak Toretto-ET,,86.0,,,,,22,0,,,,,,,N,420,2798,436,388,400,527,2798,22,23,0.01,0.03,2.92,,,101,-50.4,-0.34,0.96,0.63,0.54,1.76,1.46,4.16,4.41,,0.28,1.35,3.27,2.77,0.35,1.45,0.12,-0.05,0.52,0.51,-0.38,0.32,-0.66,-0.13,0.76,0.51,0.07,-1.02,-0.92,0.52,0.77,0.32,0.33,-0.18,-0.54,-0.6,0.03,0.29,0.45,0.43,-0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,3.6,3.7,72,5.4,12.2,71,3.3,3.0,,5.6,3.4,394
1330,1330,2024-01-30,Pedigree,HO,10.98,,CDCB,,HO840003219939682,001HO15839,Peak Lincoln-ET,,928.0,,,,,22,0,,,,,,,N,424,2792,434,402,421,560,2792,33,21,0.04,0.01,2.32,,,109,44.1,0.31,1.72,1.33,1.24,1.76,1.61,3.91,4.41,,0.28,1.35,4.07,2.85,1.46,0.6,0.02,0.0,-0.04,0.01,-0.78,-0.17,-0.48,-0.39,-0.56,-0.26,-0.43,-0.72,-0.17,0.6,-0.59,-0.47,-0.41,-0.45,-0.78,0.32,-0.42,-0.69,-0.14,-0.35,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,3.5,3.8,72,5.3,12.2,72,3.3,2.9,,5.8,3.4,418
1331,1331,2024-01-30,Pedigree,HO,10.98,,CDCB,,HO840003219939682,001HO15839,Peak Lincoln-ET,,928.0,,,,,22,0,,,,,,,N,424,2792,434,402,421,560,2792,33,21,0.04,0.01,2.32,,,109,44.1,0.31,1.72,1.33,1.24,1.76,1.61,3.91,4.41,,0.28,1.35,4.07,2.85,1.46,0.6,0.02,0.0,-0.04,0.01,-0.78,-0.17,-0.48,-0.39,-0.56,-0.26,-0.43,-0.72,-0.17,0.6,-0.59,-0.47,-0.41,-0.45,-0.78,0.32,-0.42,-0.69,-0.14,-0.35,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,3.5,3.8,72,5.3,12.2,72,3.3,2.9,,5.8,3.4,418
1333,1333,2024-02-09,Pedigree,HO,10.98,,CDCB,,HO840003209641335,001HO15461,Peak Break Even-ET,,1110.0,,,,,21,0,,,,,,,N,466,2875,473,449,447,868,2875,39,31,0.01,0.01,2.17,,,134,-80.39,-0.39,0.77,0.53,0.39,1.61,1.56,4.16,4.46,,0.64,1.3,2.62,3.01,0.66,0.6,0.22,-0.05,0.32,0.61,-0.17,0.1,-0.48,0.45,0.69,0.81,0.22,-0.56,-1.09,1.03,0.66,0.46,0.46,0.42,-0.01,-0.56,0.49,0.34,0.74,0.48,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,3.6,3.7,71,5.4,11.9,71,3.3,2.9,,5.5,3.3,388
1334,1334,2024-02-12,Pedigree,HO,10.98,,CDCB,,HO840003205436134,001HO15405,Peak Toretto-ET,,70.0,,,,,21,0,,,,,,,N,420,2798,436,388,400,527,2798,22,23,0.01,0.03,2.92,,,101,-50.4,-0.34,0.96,0.63,0.54,1.76,1.46,4.16,4.41,,0.28,1.35,3.27,2.77,0.35,1.45,0.12,-0.05,0.52,0.51,-0.38,0.32,-0.66,-0.13,0.76,0.51,0.07,-1.02,-0.92,0.52,0.77,0.32,0.33,-0.18,-0.54,-0.6,0.03,0.29,0.45,0.43,-0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,3.6,3.7,72,5.4,12.2,71,3.3,3.0,,5.6,3.4,394
1335,1335,2024-02-13,Pedigree,HO,8.69,,CDCB,,HO840003219939682,001HO15839,Peak Lincoln-ET,,797.0,HOCAN000012302930,200HO10672,Fortune,,21,0,,,,,,,N,324,2741,335,302,324,426,2741,25,17,0.03,0.01,2.16,,,68,56.8,1.21,1.23,2.04,1.84,1.63,1.5,3.73,3.88,,0.72,1.38,4.26,2.78,2.38,0.65,0.06,0.05,0.06,0.15,-0.59,-0.7,-1.0,0.17,-0.48,0.13,-0.46,-0.86,-1.75,0.56,-0.59,-0.33,-0.74,0.18,-0.26,0.07,-0.4,-0.72,0.55,-0.31,-1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,2.7,2.9,57,3.9,9.0,56,2.4,2.3,,4.4,2.6,288
1336,1336,2024-02-14,Pedigree,HO,10.98,,CDCB,,HO840003219939682,001HO15839,Peak Lincoln-ET,,,,,,,21,0,,,,,,,N,424,2792,434,402,421,560,2792,33,21,0.04,0.01,2.32,,,109,44.1,0.31,1.72,1.33,1.24,1.76,1.61,3.91,4.41,,0.28,1.35,4.07,2.85,1.46,0.6,0.02,0.0,-0.04,0.01,-0.78,-0.17,-0.48,-0.39,-0.56,-0.26,-0.43,-0.72,-0.17,0.6,-0.59,-0.47,-0.41,-0.45,-0.78,0.32,-0.42,-0.69,-0.14,-0.35,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,3.5,3.8,72,5.3,12.2,72,3.3,2.9,,5.8,3.4,418
1337,1337,2024-02-15,Pedigree,HO,15.91,,CDCB,,HO840003209641335,001HO15461,Peak Break Even-ET,,1108.0,HO840003139112680,200HO11946,Bosa,,21,0,,,,,,,N,544,2953,548,534,527,1051,2953,48,34,0.02,0.01,2.21,,,165,-102.2,-0.67,0.71,0.32,0.17,1.46,1.41,3.83,3.9,,0.62,1.18,2.43,3.03,0.68,0.72,0.23,-0.03,0.31,0.53,-0.21,0.46,-0.53,0.4,1.22,1.13,0.41,-0.69,-1.3,1.23,1.26,0.81,0.86,0.38,-0.21,-0.91,0.66,0.76,0.95,0.84,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,2.9,2.9,59,4.1,9.3,58,2.5,2.4,,4.3,2.7,322
1338,1338,2024-02-15,Pedigree,HO,10.98,,CDCB,,,,,,10049.0,,,,,21,0,,,,,,,N,380,2764,393,352,366,425,2764,36,20,0.07,0.03,1.84,,,110,-0.79,-0.28,0.43,0.26,0.18,2.12,2.02,4.82,5.71,,0.27,0.51,1.43,2.93,0.81,0.5,0.04,0.0,0.03,0.22,-0.28,0.11,-0.12,-0.25,-0.01,-0.08,-0.04,-0.28,0.23,0.07,0.01,-0.04,0.05,-0.21,-0.3,-0.14,0.05,-0.1,-0.13,-0.04,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,5.2,5.2,99,8.2,17.5,99,5.0,4.0,,7.9,4.7,558
1339,1339,2024-02-15,Pedigree,HO,8.85,,CDCB,,HO840003212874372,777HO12222,Cookiecutter Holysmokes-ET,,,HOCAN000011696704,200HO10363,High Octane,,21,0,,,,,,,N,97,2694,102,87,59,684,2694,24,22,-0.01,0.0,-0.01,,,53,135.3,-1.45,-1.24,-1.74,-1.33,2.21,1.71,4.5,4.35,,-0.06,-2.62,0.58,2.85,0.98,-0.42,-0.47,-0.07,-0.02,0.01,0.58,0.49,0.41,0.78,-0.06,1.37,0.94,0.31,0.07,0.47,-0.11,1.55,1.23,0.93,0.56,-0.02,0.78,-0.04,1.09,0.92,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,2.8,3.0,59,4.0,9.5,59,2.5,2.4,,4.4,2.6,319
